89,-2698,258872
272256293,2286,-2707,258793
272256996,1989,-2922,258643
272257697,2109,-2587,258456
272258398,2329,-2807,258718
272259101,2270,-2657,258458
272259804,2268,-2678,258933
272260505,2404,-2785,258487
272261207,2211,-2860,258835
272261909,2312,-2799,258484
272262611,2412,-2743,258640
272263313,2161,-2722,258545
272264015,2158,-2787,258821
272264717,2300,-2701,258742
272265419,2399,-2729,258797
272266122,2286,-2799,258724
272266824,1958,-2747,259079
272267525,2027,-2754,258896
272268227,2370,-2886,259137
272268930,2183,-2650,258477
272269631,2095,-2749,258905
272270332,2128,-2631,258620
272271035,2239,-2852,258485
272271738,2189,-2603,258660
272272439,2124,-2535,258590
272273141,2315,-2816,259012
272273844,2314,-2797,258712
272274546,2415,-2715,257889
272275247,2413,-2667,258545
272275949,2323,-2646,258580
272276650,2304,-2608,258564
272277352,2098,-2891,258321
272278055,2366,-2704,258537
272278757,2142,-2796,258840
272279458,2388,-2693,258837
272280161,2160,-2639,258515
272280864,2356,-2859,258587
272281565,2133,-2675,258892
272282266,2286,-2717,258478
272282969,2094,-2820,258697
272283671,2075,-2722,258672
272284372,2470,-2744,258650
272285074,2414,-2964,258750
272285776,2282,-2749,258705
272286478,2281,-2744,258574
272287181,2260,-2866,258809
272287883,2509,-2822,258538
272288584,2181,-2753,258683
272289286,2271,-2518,258838
272289989,2207,-2766,258550
272290690,2037,-2797,258743
272291391,2389,-2782,258491
272292094,2187,-2728,258605
272292797,2244,-2721,258473
272293498,2074,-2753,258802
272294200,2209,-2690,258627
272294902,2252,-2811,258867
272295604,1994,-2847,259011
272296306,1972,-2771,258795
272297008,2230,-2785,259041
272297710,2250,-2911,258612
272298412,2166,-2731,258891
272299115,2194,-2783,258451
272299817,2266,-2748,258593
272300518,2185,-2581,258773
272301219,2066,-2868,258417
272301922,2478,-2873,258506
272302624,2030,-2749,258814
272303326,2219,-2632,258625
272304028,2088,-2820,258683
272304730,2328,-2812,258637
272305432,2176,-2725,258427
272306135,2390,-2730,258607
272306837,2232,-2735,258424
272307538,2309,-2883,258583
272308239,2229,-2676,258555
272308942,2225,-2666,259149
272309643,2257,-2834,258749
272310344,2147,-2703,258940
272311047,2336,-2990,258708
272311750,2138,-2720,258426
272312452,2174,-2857,258894
272313154,2188,-2907,258797
272313856,2066,-2941,258470
272314558,2264,-2724,258661
272315260,1990,-2855,258852
272315962,2383,-2794,258455
272316663,2162,-2824,258929
272317364,2247,-2748,258685
272318067,2305,-2645,258706
272318770,2114,-2591,258384
272319471,2074,-2810,258491
272320174,2018,-2732,258339
272320877,2126,-2838,258537
272321579,2121,-2692,258940
272322280,2265,-2986,259078
272322982,2217,-2771,258483
272323684,2343,-2942,258553
272324385,2142,-2888,258717
272325088,2510,-2724,258942
272325791,2225,-2787,258747
272326492,2265,-2835,258860
272327195,2357,-2795,258806
272327898,2336,-2776,258523
272328600,2177,-2884,258448
272329301,2264,-2784,258783
272330003,2151,-2936,258626
272330706,2188,-2847,258726
272331408,2316,-2856,258597
272332110,2208,-2750,258487
272332812,2102,-2493,258681
272333513,2208,-2693,258884
272334215,2246,-3039,258893
272334918,2104,-2823,258730
272335619,2329,-2758,258758
272336320,2111,-2637,258655
272337023,2103,-2679,258631
272337726,2390,-2734,258519
272338427,2345,-2835,258729
272339130,2422,-2794,258948
272339833,1974,-2986,258411
272340534,2502,-2733,258579
272341235,2221,-2892,258834
272341937,2136,-2910,258653
272342639,2387,-2778,258491
272343341,2221,-2999,258752
272344043,2190,-2817,258840
272344745,2121,-2596,258691
272345446,2305,-2528,258568
272346149,2166,-2679,258702
272346852,2266,-2860,258442
272347553,2293,-2803,258320
272348254,2336,-2825,258675
272348957,2230,-2722,258856
272349658,2404,-2682,258644
272350359,2287,-2558,258982
272351061,2286,-2792,258932
272351764,2265,-2925,258768
272352466,2397,-2811,258893
272353169,2219,-2499,258395
272353871,2191,-2583,259048
272354572,1832,-2545,258513
272355274,2202,-3024,258334
272355977,2337,-2825,258707
272356678,1986,-3020,258625
272357379,2234,-2725,258830
272358082,2076,-2702,258852
272358785,2233,-2764,258262
272359486,2246,-3067,258550
272360188,2156,-2721,258662
272360891,2159,-2650,258513
272361593,2273,-2614,258596
272362294,2269,-2592,258756
272362996,2243,-2685,258788
272363698,2214,-2982,258467
272364400,2313,-2923,258881
272365103,2121,-2689,259182
272365805,2308,-2593,258670
272366506,2141,-2740,258766
272367209,2245,-2779,258726
272367912,2032,-2808,258562
272368613,2139,-2649,258795
272369314,2436,-2576,258888
272370017,2323,-2758,258777
272370720,2329,-2887,258661
272371421,2494,-2772,258518
272372123,2302,-2728,258710
272372826,2162,-2672,258652
272373528,2287,-2636,258748
272374230,2371,-2931,258624
272374932,2171,-2795,258751
272375633,2292,-2814,258928
272376335,2255,-2569,258483
272377038,2110,-2841,258579
272377740,2129,-2599,258474
272378441,2141,-2785,258867
272379144,1929,-2917,258836
272379847,2249,-2765,258585
272380548,2221,-2895,258786
272381249,2185,-2788,259056
272381952,2208,-2689,258715
272382654,2304,-2789,258708
272383356,2383,-2920,258771
272384058,2228,-2904,258404
272384760,2214,-2627,258737
272385462,2305,-2645,258546
272386165,2248,-2486,258658
272386868,2489,-2622,258625
272387569,2163,-2614,258730
272388270,2168,-2806,258572
272388973,2257,-2753,258698
272389674,2435,-2756,258930
272390375,2293,-2785,258656
272391078,2368,-2747,258562
272391781,2096,-2931,258671
272392483,2247,-2699,258857
272393185,2134,-2860,258827
272393887,2248,-2687,259011
