-2344,141420,214061
315738350,-2357,140941,213828
315739052,-2362,141061,214006
315739754,-2412,140809,214015
315740456,-2495,140692,214117
315741158,-2104,140915,214091
315741860,-2390,140580,213946
315742561,-2632,140672,214515
315743263,-2515,140916,214390
315743965,-2293,140807,214228
315744666,-2360,140812,214140
315745368,-2299,140870,214188
315746071,-2581,141343,214593
315746772,-2096,141096,214095
315747474,-2596,141233,213676
315748177,-2595,141282,213946
315748878,-2312,140924,214053
315749579,-2222,141266,214628
315750282,-2200,140855,214266
315750983,-2154,140980,213723
315751684,-2303,140577,213874
315752386,-2142,140880,214066
315753089,-2414,140520,214581
315753791,-2184,140676,214139
315754493,-2284,140898,213721
315755196,-2421,140878,214187
315755898,-2520,141016,214720
315756599,-2637,141093,214438
315757301,-2248,140986,214305
315758004,-2307,140973,214017
315758705,-2139,141165,213811
315759407,-2372,140695,214188
315760110,-2124,140811,214135
315760812,-2164,140735,213887
315761513,-2331,140538,214194
315762216,-2065,140685,214259
315762918,-2192,140684,214101
315763619,-2236,140793,214275
315764321,-2328,141135,214189
315765024,-2437,140783,214295
315765725,-2471,140842,214462
315766427,-2410,141066,214327
315767130,-2500,140907,214185
315767832,-2241,141112,213909
315768533,-2347,140810,213655
315769236,-2231,140981,213944
315769938,-2246,140963,213895
315770639,-2387,140639,213721
315771341,-2074,140832,213991
315772044,-2398,140752,214330
315772745,-2343,140608,214117
315773447,-2374,140670,213918
315774150,-2450,141078,214024
315774852,-2051,140896,214651
315775553,-2309,140787,214403
315776255,-2789,141014,214083
315776957,-2624,141184,214129
315777658,-2433,141068,213874
315778360,-2440,140982,214211
315779063,-2247,140848,213983
315779765,-2465,140654,213601
315780467,-2459,140777,214135
315781170,-2204,140568,214046
315781872,-2371,140667,214262
315782573,-2336,140699,214288
315783275,-2114,140869,214317
315783977,-2317,140567,214299
315784678,-2272,140886,214115
315785380,-2631,140721,214201
315786083,-2543,140668,214385
315786785,-2325,140970,214098
315787487,-2441,141045,214155
315788190,-2420,140997,214302
315788892,-2474,140907,213924
315789593,-2439,140848,213821
315790295,-2270,140721,213985
315790997,-2470,140722,213725
315791698,-2300,140938,214009
315792400,-2396,140744,214212
315793103,-2331,140904,214463
315793805,-2033,140747,214209
315794506,-2546,140811,214189
315795209,-2181,140682,214220
315795911,-2547,140981,214430
315796612,-2053,141094,214177
315797314,-2373,141121,213996
315798017,-2267,140950,214081
315798718,-2340,141150,213764
315799420,-2294,140854,213897
315800123,-2325,140933,214278
315800825,-2197,140932,214226
315801526,-2531,140676,214351
315802229,-2515,140604,214092
315802931,-2632,140943,214182
315803632,-2325,140692,214590
315804334,-2427,140873,214480
315805037,-2472,141042,214125
315805738,-2517,140702,214086
315806440,-2483,141190,214160
315807143,-2274,141075,214163
315807844,-2123,140860,213827
315808545,-2556,140968,213871
315809248,-2504,140840,214312
315809949,-2289,140906,213975
315810650,-2326,140953,213975
315811353,-2466,140732,214206
315812056,-2396,140663,214351
315812757,-2576,140880,214489
315813460,-2414,140838,214281
315814163,-2515,140554,214468
315814864,-2388,140597,214490
315815565,-2400,140742,214085
315816268,-2261,140664,214121
315816969,-2388,141111,214052
315817670,-2319,140850,214009
315818373,-2327,140891,214045
315819076,-2423,141103,213973
315819777,-2456,140970,214345
315820480,-2581,140960,214094
315821183,-2314,140895,214100
315821884,-2572,140694,214177
315822585,-2239,140606,214669
315823288,-2550,140641,214576
315823989,-2328,140428,214213
315824691,-2031,141036,214094
315825394,-2255,140874,214360
315826096,-2013,140865,214297
315826798,-2013,141102,213845
315827500,-2135,140833,214026
315828202,-2338,141145,214248
315828903,-2185,141170,214405
315829605,-2358,140981,214140
315830307,-2291,140824,214224
315831009,-2501,140612,214136
315831711,-2632,140688,214108
315832414,-2301,140553,214210
315833116,-2147,140794,214414
315833818,-2299,140619,214056
315834520,-1965,140911,214077
315835222,-1975,140995,214295
315835924,-1766,140806,214355
315836626,-2104,141068,214220
315837328,-2063,140814,213679
315838030,-2340,140896,213769
315838732,-2423,140865,214197
315839434,-2394,141089,214322
315840136,-2562,140928,214214
315840838,-2409,140900,214134
315841539,-2427,140784,214097
315842241,-2358,140730,214228
