,253950,39230,-2671
25228243,253769,39179,-2681
25228945,253998,38929,-2405
25229647,253728,39126,-2464
25230349,253926,39070,-2564
25231052,254006,39159,-2447
25231754,254004,39040,-2627
25232456,254233,39274,-2677
25233158,253958,39265,-2520
25233860,254212,39279,-2746
25234561,253961,39146,-2919
25235263,254142,39097,-2495
25235965,253872,39081,-2547
25236666,253917,39174,-2409
25237368,254132,39151,-2793
25238071,253905,39079,-2529
25238772,253757,38975,-2504
25239474,253859,38942,-2711
25240177,253879,39165,-2630
25240878,253891,39101,-2465
25241579,253890,39032,-2542
25242281,253922,39198,-2688
25242983,254089,39408,-2515
25243684,254033,39036,-2344
25244386,254089,39197,-2585
25245089,254203,39278,-2520
25245791,253938,39419,-2262
25246493,254040,39229,-2297
25247196,254054,39178,-2194
25247898,254028,39382,-2341
25248599,254158,39079,-2189
25249302,253978,39151,-2358
25250005,254023,39349,-2650
25250706,253900,39120,-2884
25251408,253941,39174,-2408
25252111,253653,39137,-3096
25252812,253861,39124,-2643
25253513,253919,39104,-2479
25254216,253945,38887,-2271
25254917,253998,39162,-2542
25255618,253959,39052,-2620
25256321,253950,38987,-2762
25257024,253828,38967,-2429
25257725,254005,39088,-2610
25258428,254044,39099,-2640
25259131,253922,39108,-2572
25259832,253818,39045,-2436
25260533,254004,39233,-2718
25261236,253865,39164,-2656
25261937,254181,39160,-2709
25262638,254194,39225,-2167
25263341,254052,39175,-2647
25264044,253851,39018,-2490
25264745,253952,39182,-2355
25265448,254021,38925,-2640
25266151,253911,39160,-2706
25266852,253891,39183,-2659
25267553,253765,39231,-2396
25268256,254105,39174,-2369
25268957,253905,39240,-2542
25269658,253983,39417,-2634
25270361,254055,39209,-2662
25271064,253948,39147,-2717
25271765,254010,39181,-2761
25272468,254021,39264,-2776
25273171,254057,39342,-2631
25273872,253892,39334,-2682
25274573,253657,39216,-2571
25275276,253819,39412,-2560
25275977,253949,39309,-2504
25276678,254172,39182,-2687
25277380,254003,39201,-2643
25278083,253989,38922,-2786
25278784,254207,39092,-2691
25279486,253656,39181,-2669
25280189,254075,38966,-2568
25280891,254081,38886,-2606
25281592,254094,38879,-2548
25282295,253765,38976,-2621
25282997,253780,39050,-2724
25283698,253670,39061,-2832
25284401,253932,39027,-2600
25285104,253771,38896,-2593
25285805,253855,38916,-2604
25286507,253868,39044,-2497
25287210,253885,39214,-2794
25287911,253896,39089,-2207
25288612,253992,39232,-2375
25289315,253846,39232,-2586
25290018,254138,38937,-2107
25290719,253884,38796,-2370
25291422,254094,39223,-2439
25292125,253977,39235,-2328
25292826,254072,39177,-2464
25293527,253932,39309,-2604
25294230,254158,39114,-2510
25294931,253799,39175,-2923
25295632,253860,39137,-2537
25296335,254076,39357,-2304
25297038,253702,39147,-2403
25297739,254093,39213,-2913
25298442,253969,38927,-2577
25299145,253969,39159,-2968
25299846,253798,38981,-2984
25300548,253953,39277,-2703
25301251,253919,39106,-2857
25301952,253753,39085,-3120
25302654,253913,39113,-2797
25303357,253998,39147,-2618
25304059,253869,39094,-2612
25304760,253908,39256,-2581
25305463,254337,39117,-2691
25306165,254295,39008,-2597
25306866,254221,39137,-2492
25307568,254235,38982,-2438
25308270,253935,39107,-2457
25308971,253890,38941,-2709
25309673,253864,39209,-2507
25310376,254004,38969,-2580
25311078,253820,39185,-2688
25311780,253809,39083,-2605
25312483,253863,38948,-2853
25313185,254085,39092,-2591
25313886,253935,39247,-2821
25314588,253950,38968,-2827
25315290,253859,39059,-2477
25315991,254102,39134,-2360
25316693,254193,39225,-2509
25317395,253994,39170,-2312
25318097,253903,39177,-2692
25318799,253816,39142,-2478
25319502,253841,39195,-2588
25320204,254061,39107,-2394
25320906,253729,38931,-2915
25321608,253800,39206,-2720
25322310,253838,38968,-2653
25323012,253928,38948,-2685
25323714,254184,39089,-2356
25324416,253952,39285,-2797
25325118,253679,39360,-2680
25325820,253890,39383,-2637
25326521,253913,39357,-2856
25327223,254052,39282,-2855
25327925,254089,39418,-2416
25328626,253895,39186,-2487
25329328,253937,39184,-2892
25330031,253859,39258,-2546
25330733,253954,39111,-2751
25331435,254124,39051,-2470
25332138,253943,39007,-2439
25332840,253846,39165,-2535
25333541,253923,39134,-2709
25334243,254234,39183,-2509
25334945,253962,39389,-2423
25335646,253994,39193,-2558
25336348,254048,39283,-2525
25337051,253945,39307,-2459
25337753,254214,39152,-2586
25338455,253927,39294,-2537
25339158,254213,39107,-2610
25339860,254081,39210,-2413
25340561,253747,39282,-2884
25341264,253927,39133,-2566
25341966,253944,39054,-2772
25342667,254076,39255,-2573
25343370,254131,39120,-3014
25344073,253962,38945,-2896
25344774,253855,39173,-2984
25345476,254031,39103,-2617
25346179,253828,39111,-2684
25346880,253721,39252,-2844
25347581,253883,39449,-2560
25348284,254104,39084,-2553
25348986,253928,39108,-2602
25349687,253758,39047,-2603
25350390,254237,39100,-2650
25351093,254034,39112,-2420
25351794,253893,39101,-2366
25352497,254082,39251,-2627
25353200,254078,39332,-2254
25353901,254021,39120,-2402
25354602,254221,39232,-2617
25355305,253956,39443,-2245
25356007,254104,39323,-2298
25356708,254097,39078,-2555
25357411,254082,39294,-2473
25358113,253825,39170,-2504
25358814,253947,39152,-2643
25359515,253944,39204,-2215
25360218,254037,39196,-2581
25360919,253684,39041,-2895
25361620,253982,39092,-2517
25362323,253834,39186,-2749
25363026,253912,39201,-2538
25363727,253947,39143,-2713
25364430,253956,39126,-2904
25365133,253852,39239,-2673
25365834,254136,39102,-2471
25366535,253805,38841,-2784
25367238,254097,38939,-2585
25367939,254102,39002,-2568
25368640,253832,39203,-2690
25369343,253990,38994,-2567
25370045,253952,39096,-2441
25370746,254019,39132,-2821
25371449,253998,39029,-2613
25372151,253888,39141,-2551
25372852,254148,39124,-2409
25373554,253759,39214,-2650
25374257,254098,39209,-2352
25374958,253857,39276,-2767
25375660,253853,39171,-2472
25376363,253853,39174,-2592
25377065,253807,39039,-2553
25377766,253878,39040,-2604
25378469,253803,39130,-2312
25379171,253965,39087,-2551
25379872,254167,39161,-2481
25380574,253782,39052,-2600
25381276,254135,39181,-2379
25381977,254009,39020,-2489
25382678,253813,39258,-2592
25383380,253950,39439,-2499
25384083,254106,39326,-2574
25384784,254018,39271,-2458
25385486,254027,39301,-2174
25386189,253917,39015,-2295
25386891,253946,39039,-2588
25387592,254037,39124,-2564
25388295,254036,39135,-2702
25388997,254075,38933,-2842
25389698,253878,38988,-2801
25390401,253931,39080,-2679
25391104,253774,38997,-2551
25391805,253887,39004,-2517
25392507,254131,39084,-2586
25393210,253813,38953,-2508
25393911,253873,39184,-2355
25394612,253980,39002,-2538
25395315,254034,39078,-2276
25396018,254003,38978,-2533
25396719,253940,39204,-2500
25397422,253882,39166,-2504
25398125,254007,39152,-2589
25398826,253985,39144,-2459
25399527,253711,39360,-2656
25400230,254180,39345,-2799
25400931,253925,39101,-2676
25401632,253914,39126,-2722
25402335,254001,39144,-2442
25403038,253941,39114,-2478
25403739,254043,38994,-2622
25404442,253932,39207,-2553
25405145,254182,39241,-2518
25405846,253930,39057,-2866
25406548,253753,39137,-2813
25407251,254166,39210,-2828
25407952,253976,39094,-2828
25408654,253892,39168,-2645
25409357,253737,39107,-2548
25410059,253770,39209,-2625
25410760,254040,39089,-2493
25411463,253718,39227,-2672
25412165,254020,38943,-2528
25412866,253809,39439,-2112
25413568,253883,39160,-2500
25414270,254542,39051,-2748
25414971,253818,39270,-1988
25415673,254165,39132,-2562
25416376,253965,39244,-2543
25417078,253734,38775,-2295
25417780,254061,39060,-2655
25418483,253831,38974,-2537
25419185,253773,39115,-2691
25419886,253986,39132,-2640
25420588,253928,39350,-2259
25421290,253608,38995,-2644
25421991,253956,39039,-2463
25422693,254022,39010,-2194
25423395,253991,38914,-2251
25424097,253737,39047,-2268
25424799,253802,39178,-2402
25425502,253879,38986,-2523
25426204,254068,39178,-2606
25426906,254037,39142,-2877
25427608,253829,39033,-2885
25428310,254109,38987,-2411
25429012,253978,39254,-2565
25429714,254075,39207,-2511
25430416,253787,39085,-2699
25431118,253798,39191,-2483
25431820,253868,39003,-2505
25432522,254062,39068,-2597
25433224,254070,39220,-2505
25433925,253888,39257,-2475
25434627,254077,39141,-2485
25435329,253991,39045,-2720
25436031,253762,38894,-2804
25436733,253735,38902,-2785
25437436,253951,39129,-2733
25438138,253868,39239,-2673
25438839,253909,39205,-2564
25439541,253842,39187,-2629
25440243,253696,39182,-2460
25440944,254097,39164,-2610
25441646,254064,39158,-2557
25442348,253973,39131,-2602
25443050,254061,39114,-2657
25443752,253721,39225,-2092
25444455,254128,39211,-2430
25445157,253841,39303,-2756
25445858,254176,38976,-2585
25446560,254081,39290,-2600
25447263,254006,39245,-2198
25447964,254026,39287,-2601
25448666,253905,39157,-2325
25449369,254118,39288,-2842
25450071,253861,39246,-2673
25450772,253994,39159,-2696
25451475,253776,39138,-2811
25452178,253801,39067,-2715
25452879,253956,38994,-2609
25453581,253974,39059,-2744
25454284,253997,38900,-2665
25454985,254156,39076,-2479
25455687,253878,39012,-2598
25456390,253980,39006,-2709
25457092,254087,38956,-2601
25457793,253988,39067,-2331
25458496,253990,39328,-2290
25459199,253953,39189,-2562
25459900,254198,39093,-2631
25460602,253945,39284,-2674
25461305,253933,39192,-2532
25462007,253904,39138,-2311
25462708,254077,39224,-2290
25463411,254081,39092,-2518
25464114,254132,39120,-2504
25464815,253797,39078,-2561
25465516,254093,39027,-2815
25466219,254088,39364,-2092
25466920,253827,39279,-2314
25467621,253831,39266,-2554
25468324,253905,39033,-2541
25469027,253586,39076,-2397
25469728,253953,39297,-2168
25470431,254079,39041,-2472
25471134,253806,39293,-2852
25471835,253701,39148,-2825
25472536,253800,38961,-2834
25473239,254072,39312,-2612
25473940,254108,38873,-2593
25474641,253954,39063,-2506
25475344,254095,39339,-2870
25476047,254118,39345,-2491
25476748,253918,39291,-2394
25477451,253816,39403,-2409
25478154,254084,39290,-2520
25478855,254166,39180,-2190
25479556,253846,39350,-2825
25480259,254063,39003,-2465
25480960,253830,39121,-2447
25481661,253893,39210,-2676
25482364,253744,38971,-2392
25483067,254159,39062,-3076
25483768,253994,39006,-2496
25484470,253832,39023,-2800
25485173,253911,39234,-2905
25485874,253824,38991,-2706
25486575,254168,39204,-2573
25487278,253841,39072,-2454
25487979,253966,39231,-2788
25488681,254059,39208,-2554
25489384,253848,39165,-2467
25490086,254198,39130,-2582
25490787,253943,39006,-2526
25491490,254095,39174,-2307
25492193,254053,39045,-2170
25492894,253987,39267,-2605
25493595,253977,39044,-2690
25494298,253886,39025,-2558
25495001,253881,39111,-2810
25495703,253776,39209,-2587
25496405,253925,39124,-2556
25497107,253891,38961,-2784
25497809,253947,39053,-2490
25498510,253867,39177,-2765
25499212,253921,39119,-2474
25499914,253749,39257,-2949
25500616,253934,38884,-2597
25501318,254034,39154,-3007
25502020,253899,39044,-2536
25502722,253875,39144,-2580
25503424,254010,39155,-2559
25504126,254016,39282,-2275
25504828,254298,39116,-2606
25505530,254032,39286,-2766
25506232,254059,39267,-2247
25506933,254102,39169,-2732
25507635,253990,39307,-2064
25508338,253990,39209,-2439
25509040,253944,39303,-2132
25509741,253851,39318,-2365
25510444,253995,39042,-2386
25511146,253695,39034,-2755
25511847,253998,39200,-2630
25512549,253786,38854,-2542
25513252,253962,38930,-2676
25513953,253829,39071,-2697
25514654,253982,39189,-2508
25515357,253864,39012,-2853
25516059,253949,39106,-2711
25516760,253815,39291,-2313
25517463,253822,39106,-2124
25518166,253905,39149,-2184
25518867,253752,39191,-2489
25519568,253818,39196,-2161
25520271,254136,39186,-2342
25520972,253858,39149,-2600
25521673,254094,39061,-2708
25522376,253886,39206,-2646
25523079,253944,39041,-2598
25523780,253953,39209,-2624
25524483,253805,39117,-2612
25525186,253767,39188,-2418
25525887,253761,39004,-2585
25526588,253926,39128,-2513
25527291,254067,39146,-2128
25527993,254019,39109,-2150
25528694,253870,39423,-2427
25529396,253925,39286,-2739
25530099,254002,39096,-2380
25530800,253925,39217,-2866
25531502,253919,39025,-2592
25532205,254057,39082,-2127
25532907,254006,39062,-2826
25533608,254065,39028,-2682
25534310,253907,38919,-2847
25535013,254013,39218,-2919
25535714,254279,39360,-2502
25536416,253870,39007,-2774
25537119,253962,39282,-2683
25537821,253874,39470,-2856
25538522,253726,39124,-2411
25539224,253841,39137,-2501
25539926,253633,39066,-2222
25540627,254127,39142,-2463
25541329,253680,39195,-2706
25542032,254020,39021,-2646
25542734,254030,38849,-2493
25543436,253986,38954,-2400
25544138,254010,39093,-2819
25544840,253843,38811,-2304
25545541,253999,39109,-2233
25546243,253886,39355,-2272
25546945,253974,39159,-2010
25547647,254005,39225,-2301
25548349,254058,39211,-2363
25549052,253911,39350,-2434
25549754,254370,39421,-2402
25550456,253952,39177,-2821
25551158,254231,39247,-2815
25551860,253857,39053,-2054
25552562,253996,38974,-2620
25553264,254244,39048,-2809
25553966,254228,39033,-2900
25554668,253843,38920,-2997
25555370,254011,39277,-2893
25556072,253513,39422,-2601
25556774,254043,39191,-3084
25557477,253933,39386,-2516
25558179,253732,39431,-2410
25558880,253922,39146,-2417
25559582,253850,38972,-2443
25560284,254189,39111,-2501
25560985,253965,39002,-2417
25561687,253982,39034,-2745
25562389,254079,39061,-2691
25563091,253882,39040,-2847
25563793,253987,39229,-2685
25564495,254025,39074,-2448
25565197,254095,39391,-2513
25565899,254081,39318,-2628
25566600,254069,39198,-2321
25567302,254090,39384,-2135
25568005,253798,39238,-2254
25568706,254011,39270,-2447
25569408,254251,38858,-2452
25570111,254103,39113,-2956
25570812,254175,38872,-2617
25571513,253927,39029,-2866
25572216,253483,38954,-3132
25572917,253649,39088,-2795
25573618,253593,39222,-2325
25574321,253675,39445,-2609
25575023,253598,39198,-2300
25575724,253752,39228,-2270
25576427,253721,39159,-2791
25577129,254070,38926,-2376
25577830,254189,39067,-2375
25578532,254081,38974,-2151
25579234,254010,39020,-2409
25579936,253837,39279,-2463
25580638,253749,39005,-2481
25581340,253904,39294,-2337
25582043,253946,39309,-2511
25582745,254016,39281,-2244
25583447,254011,39031,-2279
25584150,254313,39048,-2173
25584851,254032,39120,-2357
25585552,254180,38873,-2547
25586255,253869,38889,-2560
25586956,253905,39183,-2513
25587657,253898,39017,-2821
25588360,253937,38905,-2790
25589063,253991,39018,-2658
25589764,253723,39193,-2973
25590467,253930,39159,-2565
25591170,253976,39030,-2372
25591871,253771,39015,-2669
25592573,254134,39218,-2892
25593276,254044,39315,-2412
25593977,253859,39169,-2550
25594678,254169,39281,-2463
25595380,254123,39112,-2546
25596083,254002,39301,-2950
25596785,254021,39184,-2658
25597487,253796,39291,-2630
25598190,253810,39099,-2673
25598892,253978,39051,-2715
25599593,253920,39115,-2578
25600296,253878,39107,-2697
25600998,253938,39126,-2366
25601699,254063,39251,-2429
25602401,254079,39240,-2654
25603104,253921,39250,-2847
25603805,253947,39259,-2451
25604507,253905,39195,-2249
25605210,253902,39120,-2394
25605911,254051,39109,-2529
25606612,253984,39174,-2618
25607315,254135,39176,-2418
25608018,254120,39043,-2429
25608719,254086,39205,-2775
25609422,253919,39139,-2626
25610125,253841,39096,-2439
25610826,254039,39169,-2400
25611527,254110,39052,-2418
25612230,253911,38917,-2735
25612931,253999,38836,-2906
25613632,254084,38982,-2554
25614335,254130,39062,-2681
25615038,253868,39029,-2721
25615739,253841,39182,-2671
25616442,254103,39049,-2880
25617145,253838,39087,-2394
25617846,253824,39138,-2338
25618548,253774,39034,-2542
25619251,253874,39200,-2324
25619952,253938,39216,-2381
25620654,253876,38873,-2463
25621357,254007,39089,-2494
25622059,253920,39017,-2466
25622760,254018,39296,-2618
25623463,254046,39351,-2986
25624165,253887,39231,-2887
25624866,253659,39013,-2372
25625568,253819,39029,-2277
25626270,254005,39197,-2203
25626971,253987,39357,-2270
25627673,253828,39186,-2473
25628376,254019,39241,-2290
25629078,254089,39363,-2551
25629780,254039,39178,-2100
25630483,254034,39357,-2853
25631185,253790,39324,-2544
25631886,253988,39017,-2577
25632588,253982,39017,-2411
25633290,254022,39044,-2576
25633991,253957,39157,-2653
25634693,253824,39206,-2712
25635395,253832,38931,-2682
25636097,253874,39121,-2292
25636799,253971,39120,-2721
25637502,254166,39105,-2863
25638204,254101,39180,-2585
25638906,253982,39056,-2893
25639608,253977,39181,-2688
25640310,253955,39286,-2461
25641012,253875,39278,-2622
25641714,254032,39115,-2749
25642416,253978,39042,-2357
25643118,253917,39127,-2517
25643820,254160,39095,-2583
25644521,253866,38604,-2508
25645223,254033,39043,-2266
25645925,254162,39062,-2402
25646626,254012,38993,-2528
25647328,254035,39003,-2393
25648031,253731,38903,-2715
25648733,254155,39024,-2502
25649435,253717,39120,-2376
25650138,254013,39012,-2654
25650840,254216,39167,-2506
25651541,253902,39337,-2325
25652243,253708,39282,-2624
25652945,253675,39488,-2568
25653646,253882,39573,-2153
25654348,253721,39132,-2531
25655051,253902,39169,-1965
25655753,253973,39063,-2243
25656455,254223,39072,-2744
25657158,254004,39223,-2563
25657860,253890,38982,-2591
25658561,254004,39096,-2868
25659264,253984,39044,-2612
25659966,253711,39018,-2715
25660667,253853,39194,-2664
25661370,253983,39282,-2520
25662073,253672,39106,-2655
25662774,253949,38933,-2456
25663477,253948,38934,-2803
25664180,254095,39125,-2587
25664881,254072,39077,-2526
25665582,254239,38960,-2614
25666285,254216,38931,-2768
25666986,253753,39119,-2573
25667687,254063,39114,-2979
25668390,253809,39107,-2451
25669093,253890,39185,-2277
25669794,253688,39217,-2403
25670496,254010,39155,-2352
25671199,253966,39146,-2639
25671900,254050,39142,-2547
25672601,254128,39185,-2655
25673304,254111,38788,-2429
25674007,254079,39105,-2403
25674708,254086,39003,-2412
25675411,253976,39011,-2745
25676114,254048,38976,-2598
25676815,254024,38928,-2725
25677516,253882,39151,-2677
25678219,253868,39170,-2659
25678920,253998,39081,-2783
25679621,254013,39103,-2754
25680324,253940,39159,-2664
25681027,253893,39204,-2463
25681728,254153,39251,-2739
25682431,253985,39288,-2551
25683134,254070,39087,-2407
25683835,254138,39040,-2509
25684536,253848,39330,-2778
25685239,253957,39385,-2465
25685940,254019,39029,-2684
25686641,253899,39222,-2309
25687344,253839,39017,-2501
25688046,253884,39149,-2603
25688747,253949,39210,-2568
25689450,253940,39000,-2574
25690152,254089,39308,-2248
25690853,253936,39162,-2446
25691555,253964,39133,-2462
25692258,253980,38972,-2361
25692959,254064,39106,-2583
25693661,254119,38974,-2599
25694364,254094,38979,-2607
25695066,253979,39051,-2520
25695767,253922,39083,-2708
25696470,254001,39247,-2540
25697172,254117,39071,-2765
25697873,254028,39152,-2729
25698575,253955,39134,-2546
25699277,254026,39014,-2762
25699978,253964,39349,-2472
25700679,253951,39179,-2574
25701381,253940,39249,-2518
25702084,253887,39401,-2672
25702786,253863,39214,-2733
25703488,254085,39075,-2654
25704190,254048,39240,-2977
25704892,253995,39078,-2523
25705593,253967,38888,-2802
25706295,253892,38963,-2607
25706997,254030,39122,-2569
25707698,253885,39171,-2627
25708400,253997,39326,-2499
25709103,254008,39183,-2508
25709804,253939,39291,-2277
25710506,254057,39193,-2416
25711209,253914,39015,-2328
25711910,253997,39460,-2656
25712611,253875,39258,-2519
25713314,253895,39281,-2762
25714017,254003,39368,-2561
25714718,253891,39172,-2765
25715421,254146,39112,-2577
25716124,253864,38981,-2504
25716825,253959,39125,-2646
25717526,254071,39123,-2696
25718229,254010,39219,-2416
25718930,253951,39174,-2624
25719631,253824,39232,-2661
25720334,254115,39074,-2874
25721037,254005,39093,-2606
25721738,254063,39367,-2513
25722441,253818,39173,-2646
25723144,253830,39215,-2533
25723845,254013,39123,-2394
25724546,253965,39121,-2623
25725249,254122,38838,-2310
25725950,253903,39031,-2406
25726651,253885,39044,-2547
25727354,253916,38845,-2715
25728057,254041,39044,-2118
25728758,253747,39151,-2287
25729461,254142,39087,-2594
25730164,253775,39242,-2504
25730865,253804,39240,-2860
25731567,253768,39339,-2558
25732270,253758,39216,-2614
25732971,254119,39146,-2378
25733673,254052,39065,-2883
25734376,254144,38968,-2214
25735078,253756,39155,-2764
25735779,254062,39209,-2742
25736482,253891,39105,-2665
25737184,254220,39304,-2627
25737885,253920,39119,-2555
25738587,253920,39078,-2568
25739290,254102,39121,-2877
25739991,253873,39288,-2553
25740693,253916,39114,-2752
25741396,253863,39176,-2393
25742098,253834,39177,-2454
25742799,253857,39197,-2124
25743502,253832,39094,-2661
25744204,253820,39245,-2542
25744905,254190,39113,-2374
25745607,254082,39042,-2466
25746309,253775,39248,-2641
25747011,253946,38820,-2599
25747713,253716,39101,-2627
25748416,253938,39166,-2512
25749118,253718,39189,-2980
25749820,254017,38950,-2689
25750522,253917,39006,-2124
25751224,254197,39298,-2613
25751925,253809,39011,-2835
25752627,254100,39366,-2427
25753329,254080,39132,-2515
25754031,253973,39024,-2677
25754733,254039,38904,-2553
25755435,253976,39094,-2629
25756137,253895,39258,-2632
25756839,253887,39456,-2646
25757541,254064,39214,-2527
25758243,254071,39237,-2704
25758945,254004,39122,-2698
25759647,254196,39148,-2580
25760349,253798,39300,-2405
25761052,253950,39473,-2341
25761754,253942,39034,-2450
25762456,253861,39189,-2448
25763158,253928,39089,-2576
25763860,254034,39026,-2690
25764561,254100,39280,-2665
25765263,254161,39065,-2793
25765965,253953,39166,-2679
25766666,253924,39144,-2616
25767368,253941,39097,-2667
25768071,253776,39166,-2541
25768772,253779,39008,-2546
25769474,253812,39203,-1884
25770177,254036,38943,-2500
25770878,253913,38903,-2766
25771579,253994,39151,-2736
25772282,253905,39092,-2771
25772983,253944,39097,-2758
25773685,253962,39101,-2797
25774387,253897,39245,-2668
25775089,254004,38954,-2532
25775791,254085,38918,-2611
25776493,253775,39055,-2492
25777195,254036,39018,-2734
25777897,253954,39190,-2668
25778599,254139,39166,-2803
25779301,253766,39159,-2553
25780004,253969,39048,-2667
25780706,254088,39161,-2754
25781408,254129,39184,-2734
25782110,253894,39017,-2510
25782812,253862,39213,-2700
25783513,253997,39107,-2649
25784215,254005,39172,-2594
25784917,253956,38945,-2409
25785618,253992,39012,-2463
25786320,253973,39164,-2482
25787023,254220,39211,-2407
25787724,254033,39184,-2896
25788426,253739,39326,-2488
25789129,253855,39304,-2827
25789830,254037,39187,-2490
25790531,254049,39169,-2552
25791234,253909,38849,-2472
25791935,253873,39270,-2719
25792636,254025,39164,-2808
25793339,254005,38993,-2544
25794042,253931,38977,-2456
25794743,254041,38673,-2451
25795446,253878,39081,-2536
25796149,253942,39004,-2685
25796850,254048,39060,-2240
25797551,253842,39170,-2550
25798254,254030,39297,-2472
25798955,253989,38989,-2735
25799656,254040,39184,-2676
25800359,253865,39073,-2684
25801062,254100,39152,-2446
25801763,253743,39117,-2329
25802466,254075,38759,-2574
25803169,253663,39159,-2575
25803870,254034,39407,-2529
25804572,254060,38979,-2360
25805275,254006,39169,-2525
25805976,253973,39211,-2854
25806678,254105,39128,-2613
25807381,253937,39084,-2532
25808083,254090,39000,-2435
25808784,254126,39191,-2466
25809487,253847,39164,-2756
25810189,254005,39120,-2718
25810890,253846,39390,-2568
25811592,253730,39153,-2484
25812294,254226,39209,-2817
25812995,253781,39188,-2460
25813697,253881,39299,-2645
25814399,254004,39195,-2443
25815101,254062,38959,-2346
25815803,253985,39190,-2974
25816506,254013,38938,-2335
25817208,254350,38917,-2561
25817910,253910,39147,-2337
25818612,253983,39108,-2466
25819314,253694,39382,-2414
25820016,253785,39288,-2666
25820718,254086,39455,-2504
25821420,253913,39287,-2499
25822122,253794,38886,-2312
25822824,254230,39140,-2637
25823526,254341,39151,-2562
25824228,254199,38856,-2484
25824930,253977,38932,-2670
25825632,254147,39051,-2662
25826334,254027,39141,-2407
25827037,253793,39291,-2875
25827739,253803,39076,-2364
25828441,253735,39266,-2335
25829143,253947,39320,-2518
25829845,253915,39229,-2118
25830546,253940,39098,-2365
25831248,254127,39252,-2468
25831950,254163,39343,-2256
25832651,254208,39324,-2266
25833353,254245,38983,-2591
25834056,254061,39073,-2880
25834757,254118,38989,-2342
25835459,254197,38913,-2598
25836162,253868,38818,-2333
25836863,254070,39118,-2357
25837564,253764,39201,-2852
25838267,254030,39202,-2506
25838969,253922,39327,-2463
25839670,253887,39188,-2401
25840373,253938,39303,-2173
25841076,254058,39175,-2323
25841777,253981,39045,-2635
25842480,254180,39120,-2632
25843183,253996,39318,-2397
25843884,254213,39170,-2416
25844585,253807,39121,-2618
25845288,254007,39133,-2480
25845989,254185,39068,-2964
25846691,254195,38989,-2518
25847394,253966,39141,-2560
25848096,253936,38966,-2573
25848797,254042,39220,-2580
25849500,253912,38983,-2321
25850202,253966,39153,-2493
25850903,253861,39203,-2514
25851605,253884,39123,-2715
25852307,253968,39436,-2436
25853009,253806,38983,-2501
25853711,253929,39143,-2354
25854414,253903,39079,-2631
25855116,253949,39047,-2706
25855818,254016,38994,-2536
25856520,253827,38957,-2932
25857222,253942,38941,-2443
25857924,254030,39119,-2648
25858626,254127,38761,-2409
25859328,253896,39170,-2464
25860030,253998,39072,-2369
25860732,254110,39168,-2765
25861435,253872,39069,-2618
