206,-2757,258855
2017808576,2313,-3004,258876
2017809279,2230,-2879,258881
2017809980,2354,-2851,258702
2017810681,2435,-2745,258557
2017811383,2145,-2841,258627
2017812085,2206,-2828,258640
2017812786,2365,-2930,258625
2017813489,2312,-2829,258640
2017814192,2218,-2816,258792
2017814894,2134,-2671,258782
2017815595,2373,-2837,258939
2017816297,2360,-2658,258419
2017816998,2210,-2853,258724
2017817699,2542,-2809,258457
2017818402,2388,-2778,258712
2017819105,2222,-2842,258735
2017819807,2260,-2816,259013
2017820509,2314,-2724,258621
2017821212,2235,-2663,258737
2017821913,2138,-2816,258991
2017822614,2266,-2742,258820
2017823316,2408,-2837,258724
2017824018,2193,-2632,258537
2017824719,2328,-2744,258693
2017825422,2021,-2836,258473
2017826125,2151,-2735,258698
2017826827,2298,-2819,258528
2017827528,2251,-2896,258865
2017828230,2175,-2590,258588
2017828931,2129,-2762,258741
2017829632,2217,-2649,258825
2017830335,2323,-2773,258903
2017831038,2255,-2891,258584
2017831740,2521,-2684,258465
2017832443,2264,-2713,258683
2017833146,2301,-2914,258595
2017833847,2131,-2670,258684
2017834548,2151,-2752,258696
2017835250,2238,-2735,258712
2017835951,2226,-2812,258925
2017836653,2143,-2691,258501
2017837356,2292,-2635,258799
2017838059,2246,-2792,258464
2017838760,2395,-2539,259062
2017839462,2350,-2814,258787
2017840164,2334,-2718,258833
2017840865,2214,-2774,258702
2017841566,2246,-2697,258962
2017842269,2228,-2524,258511
2017842971,2268,-2874,258829
2017843673,2278,-2649,258639
2017844375,2283,-2621,258587
2017845077,2243,-2768,258897
2017845778,2175,-2913,258756
2017846480,2376,-2721,258310
2017847183,2394,-2854,258675
2017847885,2261,-2785,258448
2017848587,2203,-2624,258611
2017849290,2379,-2792,258753
2017849991,2178,-2905,258629
2017850692,2158,-2859,258372
2017851394,2356,-2902,258639
2017852096,2269,-2811,258834
2017852797,2197,-2697,258607
2017853500,2350,-2759,258540
2017854203,2265,-2743,258686
2017854904,1989,-2709,258892
2017855605,2284,-2817,258882
2017856308,2101,-2749,258811
2017857011,2239,-2913,258465
2017857713,2416,-2987,258762
2017858416,2300,-2894,258629
2017859118,2379,-2884,258627
2017859819,2319,-2706,258733
2017860520,2305,-2465,258464
2017861223,2277,-2942,258762
2017861925,2291,-2722,258634
2017862627,2302,-3000,258504
2017863329,2244,-2784,258936
2017864031,2291,-2648,258602
2017864732,2350,-2869,258865
2017865435,2378,-2805,258469
2017866138,2225,-2709,258559
2017866840,2341,-2605,258660
2017867541,2097,-2877,258595
2017868243,2346,-2800,258821
2017868944,2358,-2753,258734
2017869646,2150,-2671,258977
2017870349,2351,-2763,258546
2017871052,2562,-2657,258877
2017871753,2143,-2715,258314
2017872455,2414,-2835,258693
2017873157,2187,-2833,258741
2017873859,2152,-2699,258562
2017874561,2221,-2653,258922
2017875264,2220,-2824,258440
2017875965,2223,-2729,258614
2017876666,2255,-2887,258585
2017877368,2431,-2765,258739
2017878071,2436,-2892,258841
2017878773,2197,-2864,258652
2017879476,2297,-2731,258674
2017880179,2128,-2507,258650
2017880880,2355,-2934,258810
2017881581,2257,-2741,258504
2017882284,2213,-2640,258811
2017882986,2322,-2679,258678
2017883687,2088,-2787,258908
2017884389,2298,-2625,258872
2017885092,2367,-2659,258846
2017885794,2250,-2891,258650
2017886497,2325,-2816,258796
2017887200,2416,-2496,258572
2017887901,2286,-2661,258883
2017888602,2301,-2702,258694
2017889304,2332,-2833,258905
2017890007,2262,-2612,258901
2017890709,2359,-2903,258681
2017891412,2273,-2987,258597
2017892115,2299,-2871,258687
