,1748,42334,252422
72465534,1712,42130,252635
72466236,1764,42437,252649
72466938,1837,42365,252491
72467639,1812,42129,252384
72468341,1911,42324,252663
72469044,1762,42374,252643
72469746,1754,42395,252410
72470447,1828,42390,252574
72471150,1734,42331,252566
72471852,1766,42246,252533
72472553,1826,42459,252387
72473255,1971,42324,252453
72473958,1833,42239,252531
72474659,1694,42232,252350
72475360,1827,42634,252573
72476063,1749,42233,252282
72476766,1770,42459,252615
72477467,1936,42384,252644
72478170,1784,42468,252396
72478873,1776,42394,252542
72479574,1705,42169,252481
72480275,1925,42325,252498
72480978,1769,42447,252564
72481679,1854,42215,252674
72482380,1786,42246,252371
72483083,1773,42288,252592
72483786,1542,42251,252609
72484487,1821,42347,252451
72485189,1703,42207,252376
72485892,1852,42252,252428
72486594,1711,42168,252340
72487295,1775,42273,252314
72487997,1707,42364,252256
72488699,1888,42224,252322
72489400,1720,42297,252204
72490102,1717,42386,252538
72490805,1767,42385,252148
72491507,1498,42325,252114
72492209,1801,42044,252338
72492911,1708,42361,252519
72493613,1748,42342,252291
72494315,1654,42348,252177
72495017,1736,42237,252580
72495719,1900,42312,252502
72496421,1739,42328,252600
72497124,1814,42243,252816
72497826,1900,42314,252491
72498527,1612,42303,252519
72499229,1654,42210,252545
72499932,1582,42347,252350
72500633,1662,42288,252432
72501334,1764,42419,252464
72502037,1670,42297,252483
72502740,1765,42177,252465
72503441,1756,42484,252846
72504144,1859,42344,252135
72504847,1643,42292,252130
72505548,1980,42376,252551
72506249,1632,42169,252280
72506952,1661,42165,252462
72507653,1828,42265,252574
72508354,1884,42317,252452
72509057,1680,42165,252574
72509760,1805,42273,252610
72510461,1859,42226,252293
72511163,1805,42101,252402
72511866,1470,42327,252489
72512568,1767,42350,252706
72513269,1744,42484,252322
72513972,1712,42260,252604
72514674,1639,42511,252461
72515375,1800,42382,252390
72516077,1748,42451,252337
72516780,1746,42150,252747
72517482,1698,42289,252597
72518184,1779,42503,252392
72518886,1644,42213,252351
72519588,1899,42362,252193
72520289,1599,42420,252319
72520991,1703,42394,252104
72521693,1683,42328,252442
72522395,1666,42413,252599
72523097,1905,42169,252617
72523799,1666,42435,252372
72524501,1724,42368,252613
72525204,1931,42398,252456
72525906,1782,42302,252579
72526607,1617,42146,252466
72527309,1832,42360,252532
72528011,1733,42355,252540
72528713,1959,42401,252607
72529415,1613,42419,252452
72530118,1523,42303,252358
72530820,1662,42390,252422
72531521,1648,42282,252738
72532223,1667,42194,252542
72532926,1714,42314,252604
72533627,1665,42134,252682
72534328,1839,42177,252529
72535031,1800,42269,252462
72535734,1713,42167,252371
72536435,1656,42552,252520
72537138,1722,42253,252292
72537841,1771,42390,252516
72538542,1725,42376,252511
72539243,1622,42176,252601
72539946,1563,42180,252228
72540647,1838,42312,252594
72541348,1895,42309,252488
72542051,1777,42288,252308
72542754,1781,42562,252339
72543455,1721,42258,252745
72544157,1545,42352,252295
72544860,1811,42432,252428
72545562,1573,42301,252426
72546263,1662,42230,252468
72546965,1631,42253,252469
72547667,1730,42312,252539
72548368,1872,42194,252437
72549070,1627,42158,252435
72549773,1748,42188,252538
72550475,1564,42233,252214
72551177,1876,42149,252560
72551879,1658,42139,252528
72552581,1711,42456,252066
72553283,1535,42251,252385
72553985,1623,42185,252819
72554686,1755,42426,252659
72555387,1664,42450,252495
72556089,1761,42159,252497
72556792,1807,42554,252704
72557494,1811,42273,252244
72558196,1671,42324,252462
72558898,1766,42427,252298
72559600,1678,42349,252484
72560302,1695,42271,252282
72561004,1675,42085,252535
72561706,1727,42270,252329
72562408,1803,42275,252493
72563110,1753,42195,252554
72563812,1587,42415,252294
72564514,1821,42286,252365
72565216,1788,42364,252475
72565918,1892,42265,252631
72566619,1879,42427,252280
72567321,1735,42249,252711
72568024,1582,42361,252594
72568726,1843,42477,252636
72569428,1870,42162,252574
72570131,1857,42255,252760
72570833,1625,42181,252558
72571534,1662,42303,252382
72572236,1638,42478,252264
72572939,1617,42651,252571
72573640,1819,42382,252672
72574341,1970,42280,252616
72575044,1821,42316,252257
72575747,1891,42394,252497
72576448,1676,42124,252342
72577151,1716,42117,252548
72577854,1731,42447,252551
72578555,1792,42410,252424
72579256,1663,42321,252363
72579959,1668,42150,252222
72580660,1754,42205,252483
72581361,2065,42298,252601
72582064,1774,42168,252635
72582767,1871,42138,252720
72583468,1724,42352,252532
72584170,1918,42542,252558
72584873,1869,42407,252391
72585575,1756,42217,252181
72586276,1802,42333,252506
72586978,1905,42247,252391
72587680,1715,42305,252449
72588381,1879,42363,252536
72589083,1874,42429,252700
72589786,1847,42249,252407
72590488,1794,42269,252533
72591190,1767,42420,252436
72591892,1689,42440,252442
72592594,1536,42306,252281
72593295,1908,42159,252579
72593997,1728,42192,252383
72594699,1721,42347,252472
72595400,1872,42056,252411
72596102,1760,42377,252470
72596805,1581,42176,252566
72597507,1577,42423,252441
72598209,1828,42361,252535
72598911,1904,42492,252474
72599613,1643,42348,252622
72600314,1781,42276,252320
72601016,1698,42329,252536
72601719,1728,42415,252429
72602421,1776,42135,252452
72603123,1797,42259,252333
72603825,1745,42157,252386
72604527,1772,42099,252446
72605228,1736,42309,252435
72605930,1593,42360,252486
72606632,2053,42333,252451
72607334,1699,42153,252435
72608036,1946,42377,252303
72608738,1860,42134,252555
72609440,1992,42355,252218
72610143,1806,42313,252185
72610845,1825,42417,252417
72611546,1677,42268,252660
72612248,1820,42330,252451
72612951,1747,42251,252592
72613652,1830,42220,252676
72614354,1794,42459,252469
72615057,1712,42231,252507
72615759,1749,42336,252309
72616460,1867,42344,252686
72617163,1536,42351,252384
72617866,1767,42289,252614
72618567,1785,42427,252603
72619268,1808,42373,252767
72619971,1777,42248,252381
72620673,1839,42351,252751
72621374,1746,42338,252726
72622076,1762,42260,252593
72622779,1672,42149,252371
72623481,1667,42281,252732
72624183,1861,42431,252909
72624885,1716,42228,252559
72625587,1762,42178,252407
72626289,1914,42465,252300
72626991,1737,42327,252588
72627692,1695,42268,252656
72628394,1800,42375,252344
72629097,1659,42243,252505
72629799,1883,42449,252376
72630500,1712,42253,252495
72631203,1597,42504,252647
72631906,1654,42217,252348
72632607,1761,42235,252419
72633308,1765,42371,252506
72634011,1957,42247,252325
72634714,1850,42430,252295
72635415,1809,42173,252462
72636117,1604,42185,252478
72636820,1860,42120,252534
72637522,1670,42277,252488
72638223,1699,42296,252329
72638925,1890,42129,252597
72639627,1899,42332,252510
72640328,1937,42323,252475
72641030,1807,42402,252493
72641733,1516,42391,252339
72642435,1731,42363,252712
72643137,1546,42291,252209
72643839,1849,42379,252561
72644541,1550,42099,252326
72645243,1728,42382,252750
72645945,1824,42423,252431
72646646,1837,42188,252433
72647348,1859,42513,252488
72648051,1686,42234,252266
72648753,1713,42328,252354
72649454,1819,42408,252579
72650157,1786,42108,252707
72650860,1698,42369,252618
72651561,1825,42235,252433
72652262,1621,42269,252577
72652965,1720,42075,252394
72653667,1827,42226,252420
72654368,1617,42165,252352
72655070,1623,42435,252402
72655773,1724,42525,252461
72656475,1818,42144,252669
72657177,1834,42208,252118
72657879,1783,42403,252631
72658581,1821,42235,252592
72659283,1799,42131,252344
72659985,1790,42507,252315
72660686,1523,42193,252355
72661387,1776,42202,252988
72662089,1709,42166,252572
72662792,1661,42207,252524
72663494,1720,42309,252429
72664196,1796,42320,252663
72664898,1585,42300,252392
72665600,1465,42114,252261
72666302,1918,42325,252540
72667004,1706,42283,252426
72667706,1835,42483,252262
72668408,1502,42248,252591
72669111,1638,42186,252532
72669813,1758,42379,252140
72670514,1739,42473,252491
72671215,1681,42327,252434
72671917,1692,42265,252509
72672619,1722,42495,252424
72673321,1795,42256,252351
72674023,1529,42158,252496
72674725,1653,42287,252419
72675427,1575,42338,252615
72676130,1766,42278,252356
72676832,1865,42239,252651
72677533,1742,42334,252532
72678235,1830,42406,252536
72678938,1909,42324,252669
72679639,1806,42382,252153
72680340,1685,42266,252442
72681043,1793,42442,252495
72681746,1578,42496,252440
72682447,1899,42411,252335
72683150,1616,42192,252526
72683853,1748,42248,252486
72684554,1757,42295,252342
72685255,1667,42431,252523
72685957,1722,42386,252416
72686659,1788,42192,252324
72687361,1814,42327,252312
72688063,1590,42403,252538
72688765,1712,42203,252564
72689467,1533,42255,252449
72690170,1823,42335,252677
72690872,1743,42333,252376
72691573,1764,42470,252796
72692275,1733,42322,252783
72692977,1657,42400,252460
72693678,1892,42351,252619
72694379,1824,42210,252487
72695082,1787,42227,252412
72695785,1826,42213,252663
72696486,1800,42266,252730
72697189,1848,42233,252560
72697892,1641,42531,252550
72698593,1848,42296,252568
72699294,1697,42275,252552
72699997,1657,42330,252416
72700699,1933,42580,252308
72701400,1776,42376,252680
72702102,1674,42085,252582
72702805,1758,42195,252133
72703507,1810,42153,252519
72704209,1801,42445,252708
72704911,1829,42188,252562
72705613,1629,42024,252394
72706315,1696,42338,252536
72707017,1761,42306,252657
72707719,1852,42288,252223
72708421,1737,42345,252392
72709124,1799,42458,252309
72709827,1720,42085,252887
72710528,1739,42311,252601
72711229,1901,42441,252321
72711932,1831,42247,252414
72712633,1703,42303,252254
72713334,1780,42361,252451
72714037,1743,42237,252146
72714740,1830,42179,252363
72715441,2143,42378,252426
72716143,1756,42258,252689
72716846,1606,42330,252723
72717548,1846,42275,252513
72718249,1765,42218,252408
72718951,1793,42307,252609
72719653,1723,42404,252403
72720355,1710,42197,252427
72721057,1797,42195,252423
72721759,1857,42170,252456
72722461,1885,42365,252558
72723164,1766,42330,252438
72723867,1928,42383,252581
72724568,1714,42282,252636
72725269,1777,42379,252289
72725972,1786,42354,252718
72726673,1908,42276,252546
72727374,1895,42298,252711
72728077,1851,42334,252731
72728780,1927,42172,252462
72729481,1756,42432,252592
72730183,1610,42213,252257
72730886,1776,42327,252434
72731588,1701,42247,252851
72732289,1839,42518,252295
72732991,1824,42336,252269
72733693,1806,42198,252390
72734395,1782,42390,252491
72735097,1784,42205,252550
72735799,1761,42048,252380
72736501,1977,42235,252452
72737204,1814,42163,252286
72737906,1927,42189,252330
72738607,1729,42480,252385
72739309,1855,42293,252410
72740012,1968,42196,252354
72740714,1809,42442,252478
72741415,1669,42188,252525
72742118,1587,42405,252473
72742821,1726,42480,252510
72743522,1801,42255,252546
72744223,1568,42283,252633
72744926,1712,42180,252528
72745627,1796,42485,252555
72746328,1795,42530,252405
72747031,1672,42404,252774
72747734,1573,42372,252369
72748435,1869,42413,252513
72749138,1764,42278,252520
72749841,1854,42258,252374
72750542,1891,42235,252481
72751243,1598,42135,252438
72751946,1832,42282,252689
72752647,1845,42270,252312
72753348,1543,42316,252363
72754051,1695,42409,252704
72754754,1593,42159,252525
72755455,1732,42318,252531
72756158,1886,42141,252118
72756861,1732,42308,252631
72757562,1671,42258,252482
72758263,1647,42258,252421
72758966,1881,42307,252976
72759667,1715,42325,252318
72760368,1692,42482,252194
72761071,1758,42478,252862
72761773,1818,42298,252576
72762474,1855,42185,252430
72763177,1767,42322,252456
72763880,1853,42319,252100
72764581,1752,42206,252644
72765283,1710,42337,252375
72765986,1918,42154,252486
72766687,1847,42311,252498
72767389,1645,42234,252322
72768091,1563,42219,252442
72768793,1701,42261,252655
72769495,1768,42349,252638
72770197,1857,42297,252488
72770899,1857,42342,252270
72771601,1934,42321,252744
72772302,1797,42401,252641
72773004,1846,42229,252648
72773707,1683,42276,252721
72774409,1575,42175,252601
72775111,1731,42539,252533
72775813,1785,42500,252786
72776515,1721,42548,252222
72777216,1699,42250,252185
72777918,1595,42138,252421
72778620,1743,42319,252383
72779321,1909,42456,252388
72780023,1730,42283,252421
72780726,1841,42217,252496
72781428,1842,42346,252444
72782130,1726,42384,252312
72782832,1665,42315,252609
72783534,1834,42370,252389
72784235,1783,42221,252364
72784937,1693,42394,252454
72785639,1985,42384,252432
72786341,1611,42230,252694
72787043,1645,42471,252174
72787745,1703,42325,252386
72788447,1722,42337,252638
72789150,1693,42053,252519
72789852,1870,42225,252175
72790553,1710,42253,252514
72791255,1845,42376,252680
72791958,1884,42323,252313
72792659,1934,42364,252437
72793360,1580,42111,252361
72794063,1877,42195,252304
72794765,1849,42301,252403
72795466,1971,42289,252621
72796169,1792,42285,252425
72796872,1803,42174,252519
72797573,1627,42426,252499
72798274,1566,42191,252447
72798977,1830,42381,252760
72799678,1788,42276,252506
72800379,1625,42394,252515
72801082,1652,42531,252433
72801785,1850,42348,252681
72802486,1803,42442,252549
72803189,1805,42190,252574
72803892,1834,42312,252658
72804593,1617,42319,252402
72805294,1847,42437,252436
72805997,1787,42342,252574
72806699,1739,42226,252633
72807400,1740,42379,252491
72808102,1598,42302,252443
72808805,1729,42336,252384
72809506,1909,42300,252546
72810208,1847,42221,252252
72810911,1683,42259,252758
72811613,1784,42356,252614
72812314,1731,42369,252538
72813016,1650,42324,252637
72813719,1851,42232,252375
72814421,1719,42258,252561
72815123,1945,42102,252189
72815825,1719,42352,252298
72816527,1722,42287,252339
72817228,1667,42030,252772
72817930,1638,42195,252375
72818632,1785,42485,252347
72819334,1707,42247,252421
72820036,1665,42487,252472
72820738,1736,42291,252401
72821440,1612,42308,252395
72822143,1703,42372,252336
72822845,1802,42253,252390
72823546,1824,42256,252534
72824248,1590,42330,252303
72824950,1656,42295,252642
72825651,1724,42140,252468
72826352,1828,42321,252384
72827055,1795,42348,252444
72827757,1790,42144,252327
72828458,1672,42295,252573
72829161,1666,42297,252617
72829864,1810,42366,252363
72830565,1869,42274,252344
72831266,1703,42402,252608
72831969,1892,42257,252747
72832670,1757,42056,252455
72833371,1684,42229,252586
72834074,1808,42474,252531
72834777,1776,42246,252581
72835478,1873,42369,252386
72836181,1844,42258,252713
72836884,1677,42122,252303
72837585,1822,42234,252438
72838286,1735,42276,252398
72838989,1701,42459,252621
72839691,1719,42478,252727
72840392,1892,42365,252644
72841095,1506,42159,252477
72841798,2003,42163,252263
72842499,1895,42260,252903
72843201,1941,42257,252531
72843904,1510,42148,252467
72844606,1775,42422,252562
72845307,1759,42203,252570
72846009,1744,42186,252492
72846712,1798,42234,252460
72847413,1929,42344,252247
72848115,1788,42381,252416
72848818,1707,42312,252414
72849520,1778,42365,252556
72850221,1857,42379,252468
72850923,1836,42239,252541
72851625,1773,42341,252497
72852327,1775,42158,252214
72853029,1825,42323,252592
72853731,1720,42176,252535
72854433,1625,42339,252547
72855136,1471,42238,252541
72855838,1511,42333,252452
72856540,1762,42274,252453
72857242,1690,42401,252397
72857944,1674,42410,252568
72858645,1832,42333,252516
72859347,1886,42400,252269
72860049,1695,42234,252327
72860751,1716,42456,252665
72861453,1785,42221,252578
72862156,2123,42429,252367
72862858,1883,42252,252667
72863559,1702,42240,252624
72864261,1828,42252,252433
72864964,1744,42149,252763
72865665,1704,42121,252188
72866367,1989,42189,252675
72867070,1659,42315,252457
72867772,1714,42190,252467
72868473,1914,42382,252447
72869176,1755,42249,252460
72869879,1749,42389,252361
72870580,1672,42318,252494
72871282,1650,42252,252601
72871985,1558,42440,252419
72872686,1798,42376,252505
72873387,1667,42337,252210
72874090,2117,42289,252312
72874793,1633,42064,252258
72875494,1699,42548,252285
72876196,1702,42312,252538
72876899,1539,42289,252550
72877601,1908,42326,252550
72878302,1601,42406,252615
72879004,1635,42477,252331
72879707,2012,42228,252442
72880409,1945,42321,252543
72881111,1746,42324,252510
72881813,1656,42317,252393
72882515,1851,42277,252462
72883216,1753,42383,252521
72883918,1956,42255,252486
72884619,1963,42431,252543
72885321,1874,42414,252392
72886023,1793,42149,252710
72886725,1755,42500,252664
72887427,1839,42281,252322
72888130,1747,42125,252513
72888832,1815,42363,252505
72889533,1907,42270,252649
72890235,1820,42323,252539
72890937,1841,42330,252331
72891638,1561,42329,252403
72892340,1839,42445,252436
72893043,1937,42416,252617
72893745,1620,42352,252639
72894446,1589,42228,252321
72895149,1761,42409,252453
72895851,1815,42409,252356
72896552,1794,42305,252600
72897254,1839,42285,252594
72897957,1702,42383,252654
72898658,1847,42508,252646
72899359,1902,42262,252427
72900062,1991,42296,252412
72900765,1633,42116,252434
72901466,1661,42283,252343
72902169,1689,42353,252515
72902872,1702,42301,252684
72903573,1655,42366,252639
72904274,1774,42310,252409
72904977,1693,42310,252532
72905678,1695,42184,252390
72906379,1966,42320,252658
72907082,1822,42408,252669
72907785,1580,42228,252422
72908486,1794,42297,252375
72909188,1769,42384,252164
72909891,1803,42283,252217
72910592,1758,42275,252615
72911293,1800,42483,252347
72911996,1744,42166,252484
72912698,1942,42462,252576
72913399,1756,42212,252482
72914101,1608,42352,252477
72914804,1742,42407,252567
72915506,1883,42350,252463
72916208,2051,42330,252593
72916910,1705,42333,252564
